本卦(貞卦)-狀況,象,八宮卦象(世應爻),序卦傳-卦爻評價,"*交卦-完全對立面且有相似之處
上下卦對調","錯卦(對卦.旁通卦)-另一個立場or過去變化歷程
陰陽相反/鏡射","綜卦(覆卦.反對卦)-對方角度or解決之道
旋轉180度/顛倒","互卦(交互卦.互體卦.卦中卦)-發展過程
1234","互卦(交互卦.互體卦.卦中卦)-發展過程
2345","互卦(交互卦.互體卦.卦中卦)-發展過程
3456","互卦(交互卦.互體卦.卦中卦)-發展過程
12345","互卦(交互卦.互體卦.卦中卦)-發展過程
23456","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
一單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
二單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
三單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
四單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
五單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
六單爻變",備註
艮䷳52(10),山,艮宮土本宮,停止阻撓-止慾修行-上爻:功德圓滿/初爻:立場堅定/二爻:人微言輕/三爻:天人交戰/四爻:屈伸自如/五爻:有倫有序,艮䷳52(10),兌䷹58(55),震䷲51(37),蹇䷦39(11),解䷧40(21),頤䷚27(34),小過䷽62(13),蒙䷃4(18),賁䷕22(42),蠱䷑18(26),剝䷖23(2),旅䷷56(14),漸䷴53(12),謙䷎15(9),"後天(東北/四隅卦(冬接春-三節氣:丑艮寅)).先天(西北).卦象(土/止/少男/狗/手/胃).丙.肉身卦.音為""亙"""
漸䷴53(12),風山,艮宮土歸魂,循序漸進-雁行團隊-初爻:先求自保/二爻:偏安一時/三爻:回歸大本營/四爻:穩固的落腳點/五爻:夢圓山頂/上爻:功成不居,蠱䷑18(26),歸妹䷵54(53),歸妹䷵54(53),蹇䷦39(11),未濟䷿64(22),家人䷤37(44),旅䷷56(14),渙䷺59(20),家人䷤37(44),巽䷸57(28),觀䷓20(4),遯䷠33(16),艮䷳52(10),蹇䷦39(11),
歸妹䷵54(53),雷澤,兌宮金歸魂,出嫁歸宿-永終知敝-初爻:廣結善緣/二爻:等待時機/三爻:開高走低/四爻:開低走高/五爻:綑綁銷售/上爻:白費心機,隨䷐17(39),漸䷴53(12),漸䷴53(12),睽䷥38(54),既濟䷾63(43),解䷧40(21),節䷻60(51),豐䷶55(45),解䷧40(21),震䷲51(37),大壯䷡34(61),臨䷒19(49),兌䷹58(55),睽䷥38(54),
豐䷶55(45),雷火,坎宮水五世,豐碩豐盛-豐功偉業-初爻:尋找絕配/四爻:向民間尋找智慧/二爻:日久見人心/五爻:改弦更張/三爻:黑暗時代/上爻:霸權末日,噬嗑䷔21(38),渙䷺59(20),旅䷷56(14),家人䷤37(44),大過䷛28(31),歸妹䷵54(53),革䷰49(47),恆䷟32(29),小過䷽62(13),大壯䷡34(61),震䷲51(37),明夷䷣36(41),革䷰49(47),離䷝30(46),
旅䷷56(14),火山,離宮火一世,羈旅探索-天地羈旅-初爻:瑣事纏身/二爻:入境隨俗/三爻:人和第一/四爻:金權的不安全感/上爻:寡情薄義/五爻;大澈大悟,賁䷕22(42),節䷻60(51),豐䷶55(45),漸䷴53(12),大過䷛28(31),睽䷥38(54),咸䷞31(15),鼎䷱50(30),離䷝30(46),鼎䷱50(30),晉䷢35(6),艮䷳52(10),遯䷠33(16),小過䷽62(13),
巽䷸57(28),風,巽宮木本宮,無孔不入(坤-申)-申命行事-初爻:武人魄力/二爻:數往知來/三爻:遭遇瓶頸/四爻:上下打點/五爻:脫胎換骨/上爻:能入不能出,巽䷸57(28),震䷲51(37),兌䷹58(55),大過䷛28(31),睽䷥38(54),家人䷤37(44),鼎䷱50(30),中孚䷼61(52),小畜䷈9(60),漸䷴53(12),渙䷺59(20),姤䷫44(32),蠱䷑18(26),井䷯48(27),"後天(東南/四隅卦(春接夏-三節氣:辰巽巳)).先天(西南).卦象(木/入/長女/雞/股/膽).辛.改革卦.憂患九卦.音為""訊"""
兌䷹58(55),澤,兌宮金本宮,說服喜悅-朋友講習-初爻:和為第一/二爻:循循善透/三爻:操之過急/四爻:有效說服/五爻:枕邊風勁/上爻:致命吸引力,兌䷹58(55),艮䷳52(10),巽䷸57(28),睽䷥38(54),家人䷤37(44),大過䷛28(31),中孚䷼61(52),革䷰49(47),困䷮47(23),隨䷐17(39),夬䷪43(63),節䷻60(51),歸妹䷵54(53),履䷉10(56),"後天(西/四正卦(秋/衰-三節氣:庚酉辛)).先天(東南).卦象(金/悅/少女/羊/口/肺).丁.易經裡卦爻辭最少的卦.(自己認為有""雲""的意象)"
渙䷺59(20),風水,離宮火五世,渙散離散-王化遠播-初爻:信仰危機/二爻:聞聲救苦/三爻:反躬自省/五爻:處處皆淨土/上爻:遠離禍害,井䷯48(27),豐䷶55(45),節䷻60(51),解䷧40(21),頤䷚27(34),漸䷴53(12),蒙䷃4(18),益䷩42(36),中孚䷼61(52),觀䷓20(4),巽䷸57(28),訟䷅6(24),蒙䷃4(18),習坎䷜29(19),
節䷻60(51),水澤,坎宮水一世,節制符節-發而中節-二爻:保守過度/初爻:守時待變/三爻:自討苦吃/四爻:遵紀守法/上爻:禁慾苦行/五爻:苦盡甘來,困䷮47(23),旅䷷56(14),渙䷺59(20),歸妹䷵54(53),頤䷚27(34),蹇䷦39(11),損䷨41(50),屯䷂3(35),習坎䷜29(19),屯䷂3(35),需䷄5(59),兌䷹58(55),臨䷒19(49),中孚䷼61(52),
中孚䷼61(52),風澤,艮宮土遊魂,誠信-信受奉行-初爻:立信第一/二爻:天倫之樂/上爻:失德失信/三爻:冤孽纏身/五爻:大愛無邊/四爻:小捨大得,大過䷛28(31),小過䷽62(13),中孚䷼61(52),歸妹䷵54(53),頤䷚27(34),漸䷴53(12),損䷨41(50),益䷩42(36),渙䷺59(20),益䷩42(36),小畜䷈9(60),履䷉10(56),損䷨41(50),節䷻60(51),佛教西方三聖卦
小過䷽62(13),雷山,兌宮金遊魂,稍有過失-學而時習-初爻:好高騖遠/三爻:魂喪他鄉/四爻:留得青山在不怕沒柴燒/上爻:天羅地網/五爻:費盡心機/二爻:拋開不切實際的幻想,頤䷚27(34),中孚䷼61(52),小過䷽62(13),漸䷴53(12),大過䷛28(31),歸妹䷵54(53),咸䷞31(15),恆䷟32(29),豐䷶55(45),恆䷟32(29),豫䷏16(5),謙䷎15(9),咸䷞31(15),旅䷷56(14),
既濟䷾63(43),水火,坎宮水三世,完成安定-思患預防-初爻:小心翼翼/上爻:在劫難逃/二爻:垂簾聽政/三爻:元氣大傷/四爻:船到江心補漏遲/五爻:心誠則靈,未濟䷿64(22),未濟䷿64(22),未濟䷿64(22),既濟䷾63(43),未濟䷿64(22),既濟䷾63(43),離䷝30(46),習坎䷜29(19),蹇䷦39(11),需䷄5(59),屯䷂3(35),革䷰49(47),明夷䷣36(41),家人䷤37(44),
未濟䷿64(22),火水,離宮火三世,尚未完成-究竟涅槃-初爻:格局困難/二爻:剛而能柔/三爻:失敗為成功之母/四爻:和平共存/五爻:佛光普照/上爻:一波未平一波又起,既濟䷾63(43),既濟䷾63(43),既濟䷾63(43),未濟䷿64(22),既濟䷾63(43),未濟䷿64(22),習坎䷜29(19),離䷝30(46),睽䷥38(54),晉䷢35(6),鼎䷱50(30),蒙䷃4(18),訟䷅6(24),解䷧40(21),
